time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-08 00:00:00+00:00,3,3,11,3
2026-01-09 00:00:00+00:00,17,8,34,6
2026-01-10 00:00:00+00:00,2,2,6,4
2026-01-11 00:00:00+00:00,14,6,1,1
2026-01-12 00:00:00+00:00,15,6,41,7
2026-01-13 00:00:00+00:00,20,9,15,4
2026-01-14 00:00:00+00:00,13,9,250,200
2026-01-15 00:00:00+00:00,8,8,88,60
2026-01-16 00:00:00+00:00,10,6,10,3
2026-01-17 00:00:00+00:00,8,4,21,4
2026-01-18 00:00:00+00:00,8,4,1,1
2026-01-19 00:00:00+00:00,40,13,40,9
2026-01-20 00:00:00+00:00,35,5,23,10
2026-01-21 00:00:00+00:00,32,10,39,13
