time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,14,9,13,5
2025-11-03 00:00:00+00:00,36,15,45,11
2025-11-04 00:00:00+00:00,22,14,55,12
2025-11-05 00:00:00+00:00,38,9,41,10
2025-11-06 00:00:00+00:00,14,12,166,9
2025-11-07 00:00:00+00:00,25,10,45,11
2025-11-08 00:00:00+00:00,17,10,31,8
2025-11-09 00:00:00+00:00,10,3,22,3
2025-11-10 00:00:00+00:00,11,6,42,12
2025-11-11 00:00:00+00:00,10,9,33,10
2025-11-12 00:00:00+00:00,33,9,195,26
2025-11-13 00:00:00+00:00,14,10,55,16
2025-11-14 00:00:00+00:00,11,8,16,7
2025-11-15 00:00:00+00:00,3,2,61,13
