time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,2,2,4,3
2025-11-30 00:00:00+00:00,9,8,35,12
2025-12-01 00:00:00+00:00,170,46,203,11
2025-12-02 00:00:00+00:00,346,110,260,22
2025-12-03 00:00:00+00:00,309,94,231,23
2025-12-04 00:00:00+00:00,56,26,90,10
2025-12-05 00:00:00+00:00,136,57,124,18
2025-12-06 00:00:00+00:00,16,8,26,4
2025-12-07 00:00:00+00:00,39,12,14,5
2025-12-08 00:00:00+00:00,39,24,251,13
2025-12-09 00:00:00+00:00,14,8,27,5
2025-12-10 00:00:00+00:00,25,12,81,13
2025-12-11 00:00:00+00:00,18,10,40,7
2025-12-12 00:00:00+00:00,37,9,37,2
