time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,32,13,44,10
2025-10-14 00:00:00+00:00,14,5,91,12
2025-10-15 00:00:00+00:00,12,8,105,14
2025-10-16 00:00:00+00:00,26,14,85,14
2025-10-17 00:00:00+00:00,9,4,81,10
2025-10-18 00:00:00+00:00,3,3,64,6
2025-10-19 00:00:00+00:00,70,14,14,6
2025-10-20 00:00:00+00:00,51,15,114,15
2025-10-21 00:00:00+00:00,8,6,82,12
2025-10-22 00:00:00+00:00,8,6,40,12
2025-10-23 00:00:00+00:00,4,4,21,6
2025-10-24 00:00:00+00:00,4,4,41,11
2025-10-25 00:00:00+00:00,16,13,13,5
2025-10-26 00:00:00+00:00,16,9,3,3
