time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,7,3,2.0,1.0
2025-12-14 00:00:00+00:00,17,9,36.0,10.0
2025-12-15 00:00:00+00:00,50,22,140.0,6.0
2025-12-16 00:00:00+00:00,43,17,148.0,18.0
2025-12-17 00:00:00+00:00,115,37,107.0,7.0
2025-12-18 00:00:00+00:00,53,18,84.0,8.0
2025-12-19 00:00:00+00:00,9,9,41.0,14.0
2025-12-20 00:00:00+00:00,14,10,146.0,7.0
2025-12-21 00:00:00+00:00,14,9,12.0,6.0
2025-12-22 00:00:00+00:00,148,56,154.0,17.0
2025-12-23 00:00:00+00:00,13,6,49.0,15.0
2025-12-24 00:00:00+00:00,19,13,42.0,8.0
2025-12-25 00:00:00+00:00,8,6,,
2025-12-26 00:00:00+00:00,1,1,10.0,6.0
