time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,10,6,10,3
2026-01-17 00:00:00+00:00,8,4,21,4
2026-01-18 00:00:00+00:00,8,4,1,1
2026-01-19 00:00:00+00:00,40,13,40,9
2026-01-20 00:00:00+00:00,35,5,23,10
2026-01-21 00:00:00+00:00,32,10,39,13
2026-01-22 00:00:00+00:00,20,10,99,24
2026-01-23 00:00:00+00:00,92,18,17,4
2026-01-24 00:00:00+00:00,125,32,58,6
2026-01-25 00:00:00+00:00,28,17,28,4
2026-01-26 00:00:00+00:00,111,40,233,16
2026-01-27 00:00:00+00:00,17,9,106,18
2026-01-28 00:00:00+00:00,33,9,76,12
2026-01-29 00:00:00+00:00,34,14,141,12
