time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-26 00:00:00+00:00,79,31,196,13
2026-02-27 00:00:00+00:00,24,19,187,14
2026-02-28 00:00:00+00:00,5,4,14,5
2026-03-01 00:00:00+00:00,41,14,20,6
2026-03-02 00:00:00+00:00,16,10,101,13
2026-03-03 00:00:00+00:00,16,9,178,18
2026-03-04 00:00:00+00:00,85,24,193,11
2026-03-05 00:00:00+00:00,10,9,75,11
2026-03-06 00:00:00+00:00,11,7,42,13
2026-03-07 00:00:00+00:00,8,4,6,5
2026-03-08 00:00:00+00:00,19,10,5,2
2026-03-09 00:00:00+00:00,137,32,275,17
2026-03-10 00:00:00+00:00,55,22,185,17
2026-03-11 00:00:00+00:00,51,16,108,13
